0.504857,
7083.36064,
12137.995637,
18177.451591,
24436.132134,
28273.628861,
31624.179892,
36761.220894,
41527.635558,
47277.44299,
52617.492382,
60762.456249,
66635.14292,
79691.707253,
83302.006584,
87726.902639,
90737.702644,
94576.973144,
99518.87251,
110753.505077,
121115.920291,
126090.175962,
125530.557041,
132315.726042,
132699.570867,
132237.989746,
140233.252779,
156255.032178,
161270.136613,
167276.923215,
172435.568979,
179359.421935,
184072.668641,
189848.80162,
196370.230969,
204256.520125,
218216.530837,
250488.422137,
216330.77244,
212286.466784,
221717.147837,
243296.347413,
220896.923141,
232293.503692,
231260.637602,
256100.054137,
240211.893615,
256977.787716,
243907.870884,
248917.064879,
254093.050311,
261115.733904,
303166.510588,
313848.098002,
319807.638893,
327802.069922,
335692.933458,
341008.270039,
330003.03326,
331282.109082,
328430.260026,
364651.003774,
368027.459234,
374551.468355,
387487.753827,
352890.945908,
323170.559641,
328715.477919,
329042.75347,
336472.653073,
338640.363551,
343304.909686,
348364.898318,
352690.9248,
357914.818436,
362719.788196,
395158.446055,
397528.686594,
402417.252708,
409132.23099,
403541.887293,
394562.603549,
399575.616052,
404233.242407,
409212.271002,
413811.197464,
419019.872703,
423859.873084,
428649.356997,
434060.237178,
438697.812852,
443504.102375,
448513.715209,
453404.396092,
458266.335966,
463435.267179,
468269.417303,
473127.787953,
477838.726399,
482825.953718,
487873.424584,
492931.116704,
